subjid,sceneid,sceneorder,desc,cleaned,pattern,pattern (normalised order)
154,9,16,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
154,10,28,blue ball,blue ball,tg_col tg_type,tg_col tg_type
154,11,2,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
154,12,20,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
154,13,24,green ball,green ball,tg_col tg_type,tg_col tg_type
154,14,6,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
154,15,10,green ball,green ball,tg_col tg_type,tg_col tg_type
154,16,4,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,17,24,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
155,18,22,the large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,19,14,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
155,20,18,the large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,21,16,green ball,green ball,tg_col tg_type,tg_col tg_type
155,22,2,the red ball,red ball,tg_col tg_type,tg_col tg_type
155,23,10,the green ball,green ball,tg_col tg_type,tg_col tg_type
155,24,26,the red ball,red ball,tg_col tg_type,tg_col tg_type
155,25,28,the small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,26,8,the small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,27,20,the small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
155,28,4,the red ball on top of the red box,red ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
155,29,32,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
155,30,6,the blue ball,blue ball,tg_col tg_type,tg_col tg_type
155,31,30,the yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
155,32,12,the small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
156,1,28,green ball,green ball,tg_col tg_type,tg_col tg_type
156,2,12,little red ball sitting next to the big red cube,small red ball next-to large red cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
156,3,18,green ball ,green ball ,tg_col tg_type ,tg_col tg_type 
156,4,10,little red ball sitting on top of the red cube,small red ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
156,5,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
156,6,22,blue ball,blue ball,tg_col tg_type,tg_col tg_type
156,7,24,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
156,8,20,blue ball,blue ball,tg_col tg_type,tg_col tg_type
156,9,14,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
156,10,26,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
156,11,8,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
156,12,16,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
156,13,2,green ball,green ball,tg_col tg_type,tg_col tg_type
156,14,4,red ball,red ball,tg_col tg_type,tg_col tg_type
156,15,32,green ball,green ball,tg_col tg_type,tg_col tg_type
156,16,6,red ball,red ball,tg_col tg_type,tg_col tg_type
157,17,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
157,18,10,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
157,19,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
157,20,6,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
157,21,14,green ball,green ball,tg_col tg_type,tg_col tg_type
157,22,4,red ball,red ball,tg_col tg_type,tg_col tg_type
157,23,2,green ball,green ball,tg_col tg_type,tg_col tg_type
157,24,22,red ball,red ball,tg_col tg_type,tg_col tg_type
157,25,8,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
157,26,26,red ball on the left,red left-hand ball ,tg_col tg_loc tg_type ,tg_col tg_loc tg_type 
157,27,20,green ball on the right,green right-hand ball ,tg_col tg_loc tg_type ,tg_col tg_loc tg_type 
157,28,28,red ball on the left,red left-hand ball ,tg_col tg_loc tg_type ,tg_col tg_loc tg_type 
157,29,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
157,30,16,blue ball,blue ball,tg_col tg_type,tg_col tg_type
157,31,24,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
157,32,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
158,1,8,ball to the left of the blue cube,ball left-of blue cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type
158,2,26,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
158,3,6,small ball which is on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type
158,4,10,small ball on top of the cube,small ball on-top-of cube,tg_size tg_type rel lm_type,tg_size tg_type rel lm_type
158,5,28,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
158,6,20,blue ball touching the blue cube,blue ball next-to blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
158,7,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
158,8,16,blue ball on top of the blue cube,blue ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
158,9,24,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
158,10,12,big blue ball beside to the right of the small blue cube,large blue ball right-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
158,11,14,big yellow ball on top of the red cube,large yellow ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
158,12,18,big blue ball on top of the blue cube,large blue ball on-top-of blue cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
158,13,22,green ball,green ball,tg_col tg_type,tg_col tg_type
158,14,2,big ball,large ball,tg_size tg_type,tg_size tg_type
158,15,30,green ball,green ball,tg_col tg_type,tg_col tg_type
158,16,4,ball which is on the cube,ball on-top-of cube,tg_type rel lm_type,tg_type rel lm_type
159,17,26,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
159,18,4,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,19,8,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,20,10,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,21,22,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,22,20,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,23,18,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,24,6,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,25,24,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,26,32,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,27,14,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,28,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
159,29,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
159,30,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
159,31,28,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
159,32,30,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,1,30,green ball,green ball,tg_col tg_type,tg_col tg_type
160,2,12,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,3,14,green ball,green ball,tg_col tg_type,tg_col tg_type
160,4,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,5,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
160,6,16,blue ball,blue ball,tg_col tg_type,tg_col tg_type
160,7,4,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
160,8,28,blue ball,blue ball,tg_col tg_type,tg_col tg_type
160,9,8,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,10,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
160,11,6,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,12,26,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
160,13,18,green ball,green ball,tg_col tg_type,tg_col tg_type
160,14,22,red ball,red ball,tg_col tg_type,tg_col tg_type
160,15,24,green ball,green ball,tg_col tg_type,tg_col tg_type
160,16,10,red ball,red ball,tg_col tg_type,tg_col tg_type
161,17,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
161,18,24,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,19,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
161,20,22,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,21,6,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,22,26,red ball,red ball,tg_col tg_type,tg_col tg_type
161,23,8,green ball,green ball,tg_col tg_type,tg_col tg_type
161,24,30,red ball,red ball,tg_col tg_type,tg_col tg_type
161,25,12,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,26,4,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,27,14,green ball,green ball,tg_col tg_type,tg_col tg_type
161,28,28,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,29,2,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
161,30,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
161,31,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
161,32,10,blue ball,blue ball,tg_col tg_type,tg_col tg_type
162,1,4,green sphere,green ball,tg_col tg_type,tg_col tg_type
162,2,28,small red sphere.,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,3,8,green sphere,green ball,tg_col tg_type,tg_col tg_type
162,4,6,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,5,18,yellow sphere.,yellow ball,tg_col tg_type,tg_col tg_type
162,6,14,blue sphere.,blue ball,tg_col tg_type,tg_col tg_type
162,7,24,yellow sphere.,yellow ball,tg_col tg_type,tg_col tg_type
162,8,20,blue sphere.,blue ball,tg_col tg_type,tg_col tg_type
162,9,32,large yellow sphere.,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,10,10,large blue sphere,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,11,16,large yellow sphere.,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,12,30,large blue sphere.,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
162,13,22,green sphere,green ball,tg_col tg_type,tg_col tg_type
162,14,2,red sphere,red ball,tg_col tg_type,tg_col tg_type
162,15,12,green sphere,green ball,tg_col tg_type,tg_col tg_type
162,16,26,red sphere.,red ball,tg_col tg_type,tg_col tg_type
163,17,16,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,18,30,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,19,2,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,20,8,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,21,22,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,22,26,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,23,12,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,24,20,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,25,24,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,26,28,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,27,10,small green ball sitting on top of the blue cube,small green ball on-top-of blue cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
163,28,14,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,29,18,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,30,6,blue ball,blue ball,tg_col tg_type,tg_col tg_type
163,31,32,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
163,32,4,blue ball,blue ball,tg_col tg_type,tg_col tg_type
164,1,18,green ball,green ball,tg_col tg_type,tg_col tg_type
164,2,2,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,3,28,green ball,green ball,tg_col tg_type,tg_col tg_type
164,4,30,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,5,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
164,6,20,blue ball,blue ball,tg_col tg_type,tg_col tg_type
164,7,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
164,8,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
164,9,4,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,10,16,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,11,14,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,12,8,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
164,13,6,green ball,green ball,tg_col tg_type,tg_col tg_type
164,14,10,red ball,red ball,tg_col tg_type,tg_col tg_type
164,15,26,green ball,green ball,tg_col tg_type,tg_col tg_type
164,16,24,red ball,red ball,tg_col tg_type,tg_col tg_type
165,17,4,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,18,26,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,19,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
165,20,6,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,21,10,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,22,16,red ball,red ball,tg_col tg_type,tg_col tg_type
165,23,12,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,24,24,red ball,red ball,tg_col tg_type,tg_col tg_type
165,25,2,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,26,30,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,27,14,smaller green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
165,28,8,ball on top of the red cube.,ball on-top-of red cube,tg_type rel lm_col lm_type,tg_type rel lm_col lm_type
165,29,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
165,30,20,blue ball,blue ball,tg_col tg_type,tg_col tg_type
165,31,28,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
165,32,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
166,1,14,green ball,green ball,tg_col tg_type,tg_col tg_type
166,2,12,red ball baside red cube,red ball next-to red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
166,3,20,green ball,green ball,tg_col tg_type,tg_col tg_type
166,4,26,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
166,5,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
166,6,2,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
166,7,6,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
166,8,8,blue ball,blue ball,tg_col tg_type,tg_col tg_type
166,9,22,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
166,10,24,blue big ball,blue large ball,tg_col tg_size tg_type,tg_size tg_col tg_type
166,11,10,yellow big ball,yellow large ball,tg_col tg_size tg_type,tg_size tg_col tg_type
166,12,28,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
166,13,16,green ball,green ball,tg_col tg_type,tg_col tg_type
166,14,18,red ball,red ball,tg_col tg_type,tg_col tg_type
166,15,30,green ball,green ball,tg_col tg_type,tg_col tg_type
166,16,4,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,17,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
167,18,18,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,19,14,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
167,20,24,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,21,6,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,22,8,orane ball,yellow ball,tg_col tg_type,tg_col tg_type
167,23,30,green ball,green ball,tg_col tg_type,tg_col tg_type
167,24,12,red ball,red ball,tg_col tg_type,tg_col tg_type
167,25,22,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,26,10,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,27,16,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
167,28,4,small red ball on tope of the red cube,small red ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
167,29,32,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
167,30,2,blue ball,blue ball,tg_col tg_type,tg_col tg_type
167,31,28,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
167,32,26,blue ball,blue ball,tg_col tg_type,tg_col tg_type
168,1,8,medium green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,2,14,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,3,28,green ball,green ball,tg_col tg_type,tg_col tg_type
168,4,18,small red ball on top of the box,small red ball on-top-of cube,tg_size tg_col tg_type rel lm_type,tg_size tg_col tg_type rel lm_type
168,5,6,medium yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,6,12,blue ball,blue ball,tg_col tg_type,tg_col tg_type
168,7,10,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
168,8,4,medium blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,9,26,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,10,20,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,11,22,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,12,2,Large Blue Ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
168,13,24,green ball,green ball,tg_col tg_type,tg_col tg_type
168,14,16,red ball,red ball,tg_col tg_type,tg_col tg_type
168,15,30,green ball,green ball,tg_col tg_type,tg_col tg_type
168,16,32,red ball,red ball,tg_col tg_type,tg_col tg_type
169,17,4,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
169,18,28,largest blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
169,19,6,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
169,20,10,blue ball atop the blue block,blue ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
169,21,16,green ball,green ball,tg_col tg_type,tg_col tg_type
169,22,18,red ball,red ball,tg_col tg_type,tg_col tg_type
169,23,12,green ball atop the blue block,green ball on-top-of blue cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
169,24,14,red ball,red ball,tg_col tg_type,tg_col tg_type
169,25,24,small green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
169,26,22,smallest red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
169,27,2,smallest green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
169,28,30,smaller red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
169,29,8,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
169,30,26,blue ball,blue ball,tg_col tg_type,tg_col tg_type
169,31,20,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
169,32,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
170,1,2,green ball,green ball,tg_col tg_type,tg_col tg_type
170,2,30,red ball next to the red cube,red ball next-to red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
170,3,22,green ball,green ball,tg_col tg_type,tg_col tg_type
170,4,10,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,5,16,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
170,6,4,blue ball,blue ball,tg_col tg_type,tg_col tg_type
170,7,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
170,8,28,blue ball,blue ball,tg_col tg_type,tg_col tg_type
170,9,6,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,10,12,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,11,24,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,12,20,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,13,14,big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,14,26,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
170,15,32,green ball,green ball,tg_col tg_type,tg_col tg_type
170,16,8,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,17,4,largest yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,18,20,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,19,2,largest yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,20,28,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,21,10,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,22,30,large red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,23,14,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,24,16,red ball,red ball,tg_col tg_type,tg_col tg_type
171,25,22,small green cube,small green cube,tg_size tg_col tg_type,tg_size tg_col tg_type
171,26,26,smallest red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,27,6,smallest green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,28,24,small red ball on top of the red cube,small red ball on-top-of red cube,tg_size tg_col tg_type rel lm_col lm_type,tg_size tg_col tg_type rel lm_col lm_type
171,29,8,smallest yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,30,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
171,31,12,small yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
171,32,18,smallest ball,small ball,tg_size tg_type,tg_size tg_type
172,1,16,the green ball,green ball,tg_col tg_type,tg_col tg_type
172,2,20,the little red ball on the floor,small red bottom ball,tg_size tg_col tg_loc tg_type,tg_size tg_col tg_loc tg_type
172,3,4,the big blue box,large blue cube,tg_size tg_col tg_type,tg_size tg_col tg_type
172,4,2,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,5,6,little yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,6,32,the blue ball,blue ball,tg_col tg_type,tg_col tg_type
172,7,30,the little yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,8,28,the blue ball,blue ball,tg_col tg_type,tg_col tg_type
172,9,14,the big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,10,18,the big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,11,26,the big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,12,8,the big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,13,24,the green ball,green ball,tg_col tg_type,tg_col tg_type
172,14,22,the big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,15,10,the big green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
172,16,12,the big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,17,30,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
173,18,24,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,19,2,yellow ball that is on top of the red cube,yellow ball on-top-of red cube,tg_col tg_type rel lm_col lm_type,tg_col tg_type rel lm_col lm_type
173,20,8,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,21,14,green ball,green ball,tg_col tg_type,tg_col tg_type
173,22,10,red ball,red ball,tg_col tg_type,tg_col tg_type
173,23,6,green ball,green ball,tg_col tg_type,tg_col tg_type
173,24,20,red ball,red ball,tg_col tg_type,tg_col tg_type
173,25,12,smaller green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,26,26,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,27,4,small green ball that is on top of the small blue cube,small green ball on-top-of small blue cube,tg_size tg_col tg_type rel lm_size lm_col lm_type,tg_size tg_col tg_type rel lm_size lm_col lm_type
173,28,16,small red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
173,29,18,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
173,30,32,blue ball,blue ball,tg_col tg_type,tg_col tg_type
173,31,22,yellow ball,yellow ball,tg_col tg_type,tg_col tg_type
173,32,28,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,17,4,large yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,18,30,big blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,19,28,big yellow ball,large yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,20,20,large blue ball,large blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,21,24,large green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,22,2,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,23,18,giant green ball,large green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,24,32,big red ball,large red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,25,12,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,26,10,little red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,27,8,little green ball,small green ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,28,22,littleest red ball,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,29,6,smallest ball it's yellow,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,30,26,littlest blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,31,16,little yellow ball,small yellow ball,tg_size tg_col tg_type,tg_size tg_col tg_type
175,32,14,small blue ball,small blue ball,tg_size tg_col tg_type,tg_size tg_col tg_type
176,1,30,green sphere,green ball,tg_col tg_type,tg_col tg_type
176,2,16,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
176,3,28,the green sphere,green ball,tg_col tg_type,tg_col tg_type
176,4,12,small red sphere,small red ball,tg_size tg_col tg_type,tg_size tg_col tg_type
176,5,4,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
176,6,32,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
176,7,22,yellow sphere,yellow ball,tg_col tg_type,tg_col tg_type
176,8,6,blue sphere,blue ball,tg_col tg_type,tg_col tg_type
